,P_STATUS,P_YEAR,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,S_RA,S_DEC,S_MAG,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_MASS,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_LOG_G,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,S_RADIUS_EST,S_RA_H,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
0,3.0,2013.0,3016.40196106,-714.6382000000001,1325.3064,268.32571,-30.471167,15.672610000000002,4970.0,-290.0,290.0,0.44,1.4973999999999992,-0.3706999999999999,0.5663999999999998,34778.5,-412.6617,275.82810000000006,4.612900000000005,3.45,3.45,3.45,3.4500001,64600.02782099993,51388.28025699993,80319.40903199992,3654.0238649999997,3688.469753999995,3717.3256399999977,1.4987999999999997,17.888381,1.7378261729999998,1.0101353849999994,2.3895701020000004,1.279522061,2.265048053999998,1.353427716000001,2.2649711019999987,1.2351035680000002,2.264667918999999,3.5587747280000013,0.35088813,0.0,0.0,0.0,0.06894924087999998,13.171536,867.67045,3.45
1,3.0,2016.0,5.215357,-6e-06,6e-06,0.32575,-8.926325,9.98,164.0,-18.0,18.0,1.41,2.21,-0.22,0.22,6260.0,-100.0,100.0,3.9,0.0661,0.0661,0.0661,0.066100002,1538.0399,1538.0399,1538.0399,1595.4633,1595.4633,1595.4633,2.21,0.021716668,6.7200194,1.8892596,4.4030181,2.3929495,4.1744624,2.5293976,4.1744624,2.3097578,4.1744624,6.9992102,0.49706819,0.0,0.0,0.0,0.059446931,15.4698,479.92028,0.0661
2,3.0,2010.0,3.53269,-1e-05,1e-05,52.818043,-23.819702,12.0,320.5,-5.6,5.6,1.46,1.24,-0.13,0.13,6000.0,-100.0,100.0,4.5,0.05149729,0.050457253,0.052516732,0.051489568,673.64152,647.35369,701.27736,1297.8352,1285.0805,1311.0443,1.24,3.5212031,1.7854061,0.98934529,2.3181363,1.2531207,2.1978042,1.3248494,2.1978042,1.2096056,2.1978042,3.6077155,0.52336187,0.0,0.0,0.0,0.066756739,13.7883,212.94476,0.051486992
3,3.0,2011.0,21.08721,-3.7e-05,3.7e-05,296.96026,46.034298,14.46,1090.44,-19.45,19.45,1.29,1.4,-0.1,0.1,6350.0,-100.0,100.0,4.4,0.16502861,0.145632,0.182368,0.16425824,106.82996,85.850405,134.62509,817.13016,775.49767,867.81351,1.4,19.797352,2.8552203,1.2248389,2.8499649,1.5513858,2.7020266,1.6397359,2.7020266,1.4974301,2.7020266,4.5622973,0.4406813,0.0,0.0,0.0,0.074576965,13.9004,6388.3429,0.164
4,3.0,2010.0,4.23452,-1.5e-05,1.5e-05,213.15638,4.059997,11.744,142.41,-1.14,1.14,1.12,0.87,-0.05,0.05,5079.0,-88.0,88.0,4.56,0.053567421,0.046802353,0.059566632,0.053280682,160.70138,127.18442,206.01774,904.62801,855.56575,965.20834,0.87,14.210426,0.45127368,0.52415551,1.2633703,0.66391931,1.1977887,0.70255125,1.1977887,0.64093774,1.1977887,1.8137765,0.47909739,0.0,0.0,0.0,0.1222707,7.0623,22.24796,0.053184492
5,3.0,2014.0,21.587475,-0.000164,0.000164,291.11188,39.949104,14.247,1058.58,-19.99,19.99,1.1228000000000002,1.22,-0.24,0.24,6050.0,-137.0,137.0,4.3,0.155,0.155,0.155,0.155,74.364628,74.364628,74.364628,748.14627,748.14627,748.14627,1.22,19.40746,1.7866102,0.98666217,2.3092649,1.2497205,2.1893934,1.3212,2.1893934,1.2063139,2.1893934,3.6089318,0.4732304640000001,0.0,0.0,0.0,0.26249141,2.19716,5.4638433,0.155
6,3.0,2017.0,623.8,-1.5,1.6,42.767853,30.286739,7.56,44.48,-0.09,0.09,0.98,1.18,-0.1,0.1,5904.0,-22.0,22.0,4.34,1.431999,1.2354,1.6046,1.4230167,0.75816288,0.58871416,0.99316833,236.9733,223.1624,254.33178,1.18,2.8511903,1.5157866,0.9169365,2.1533476,1.1614097,2.0415694,1.2279885,2.0415694,1.1210961,2.0415694,3.3241667,0.50661737,1.0,1.0,0.0,0.38043635,13.851243,276.51036,1.42
7,3.0,2016.0,5.7918016,-3.622e-05,3.622e-05,292.20471,37.22122,13.96,1050.0,-196.06,446.47,1.25,1.4,-0.25,0.61,6319.0,-219.91,179.66,4.24,0.067975959,0.067975959,0.067975959,0.067975961,605.93698,605.93698,605.93698,1264.0137,1264.0137,1264.0137,1.4,19.480315,2.7998718,1.2151604,2.8289714,1.5391283,2.6821228,1.6268181,2.6821228,1.4856062,2.6821228,4.5178608,0.44742734,0.0,0.0,0.0,0.27267203,1.6815,3.4695604,0.067975959
8,3.0,2016.0,11.598222,-1.399e-05,1.399e-05,296.22197,50.287237,15.937,243.0,-16.72,14.91,0.51,0.49,-0.03,0.02,3701.0,-40.14,39.31,4.77,0.080099023,0.080099023,0.080099023,0.080099025,6.290754,6.290754,6.290754,403.47867,403.47867,403.47867,0.49,19.748132,0.040360557,0.1638566,0.4209796,0.20754894,0.39912082,0.21998771,0.39912082,0.20034787,0.39912082,0.54242831,0.36404316,0.0,0.0,0.0,0.37496894,3.03791,9.4710941,0.080099023
9,3.0,2014.0,4.920199,-7.3e-05,7.3e-05,291.60717,38.410386,13.776,948.06,-16.94,16.94,1.0712,1.18,-0.23,0.23,5900.0,-100.0,100.0,4.3,0.057,0.057,0.057,0.057000001,465.27637,465.27637,465.27637,1183.2395,1183.2395,1183.2395,1.18,19.440479,1.5116829,0.91591717,2.1511641,1.1601187,2.0394992,1.2266278,2.0394992,1.1198506,2.0394992,3.319664,0.48087863540000003,0.0,0.0,0.0,0.29557503,1.06495,1.2177294,0.057
